Godot Engine v4.6.1.stable.official.14d19694e - https://godotengine.org
Vulkan 1.4.315 - Forward+ - Using Device #0: AMD - AMD Radeon RX 6700 XT

FPS_LOG t=6.5 fps=1 ms=1000.0 dc=0 obj=0 prim=0 rooms=0 []
EncounterTemplate run_seed=1777249058 templates=33
EncounterTemplate selected room=room_boss_approach_large_c02_06 encounter=boss template=mass_basics display=Mass Basics repeated=false stage=unused_compatible tags=boss,boss_approach,connector,large
EncounterTemplate selected room=room_combat_skirmish_small_c03_02 encounter=arena_room_combat_skirmish_small_c03_02 template=flow_basics display=Flow Basics repeated=false stage=unused_compatible tags=arena,combat,small
EncounterTemplate selected room=room_combat_tactical_medium_c02_04 encounter=arena_room_combat_tactical_medium_c02_04 template=phase_distraction display=Phase Distraction repeated=false stage=unused_compatible tags=arena,combat,medium
Dungeon Pipeline Graph: { "rooms": 7, "links": 6 }
FPS_LOG t=17.8 fps=165 ms=6.1 dc=36 obj=6432 prim=134476 rooms=2 [spawn_room_00,connection_room_01]
FPS_LOG t=18.0 fps=165 ms=6.1 dc=36 obj=6432 prim=134476 rooms=2 [spawn_room_00,connection_room_01]
FPS_LOG t=18.3 fps=165 ms=6.1 dc=36 obj=6432 prim=134476 rooms=2 [spawn_room_00,connection_room_01]
FPS_LOG t=18.5 fps=165 ms=6.1 dc=36 obj=6432 prim=134476 rooms=2 [spawn_room_00,connection_room_01]
FPS_LOG t=18.8 fps=165 ms=6.1 dc=36 obj=6432 prim=134476 rooms=2 [spawn_room_00,connection_room_01]
FPS_LOG t=19.0 fps=165 ms=6.1 dc=36 obj=6432 prim=134476 rooms=2 [spawn_room_00,connection_room_01]
FPS_LOG t=19.3 fps=165 ms=6.1 dc=36 obj=6432 prim=134476 rooms=2 [spawn_room_00,connection_room_01]
FPS_LOG t=19.5 fps=165 ms=6.1 dc=36 obj=6432 prim=134476 rooms=2 [spawn_room_00,connection_room_01]
FPS_LOG t=19.8 fps=165 ms=6.1 dc=36 obj=6432 prim=134476 rooms=2 [spawn_room_00,connection_room_01]
FPS_LOG t=20.0 fps=165 ms=6.1 dc=36 obj=6432 prim=134476 rooms=2 [spawn_room_00,connection_room_01]
FPS_LOG t=20.3 fps=165 ms=6.1 dc=36 obj=6432 prim=134476 rooms=2 [spawn_room_00,connection_room_01]
FPS_LOG t=20.6 fps=165 ms=6.1 dc=36 obj=6432 prim=134476 rooms=2 [spawn_room_00,connection_room_01]
FPS_LOG t=20.8 fps=165 ms=6.1 dc=36 obj=6432 prim=134476 rooms=2 [spawn_room_00,connection_room_01]
FPS_LOG t=21.1 fps=165 ms=6.1 dc=36 obj=6432 prim=134476 rooms=2 [spawn_room_00,connection_room_01]
FPS_LOG t=21.3 fps=165 ms=6.1 dc=36 obj=6432 prim=134476 rooms=2 [spawn_room_00,connection_room_01]
FPS_LOG t=21.6 fps=165 ms=6.1 dc=36 obj=6432 prim=134476 rooms=2 [spawn_room_00,connection_room_01]
FPS_LOG t=21.8 fps=165 ms=6.1 dc=36 obj=6432 prim=134476 rooms=2 [spawn_room_00,connection_room_01]
FPS_LOG t=22.1 fps=165 ms=6.1 dc=36 obj=6432 prim=134476 rooms=2 [spawn_room_00,connection_room_01]
FPS_LOG t=22.3 fps=165 ms=6.1 dc=36 obj=6432 prim=134476 rooms=2 [spawn_room_00,connection_room_01]
FPS_LOG t=22.6 fps=165 ms=6.1 dc=36 obj=6432 prim=134476 rooms=2 [spawn_room_00,connection_room_01]
FPS_LOG t=22.8 fps=165 ms=6.1 dc=36 obj=6432 prim=134476 rooms=2 [spawn_room_00,connection_room_01]
FPS_LOG t=23.1 fps=165 ms=6.1 dc=36 obj=6432 prim=134476 rooms=2 [spawn_room_00,connection_room_01]
FPS_LOG t=23.4 fps=165 ms=6.1 dc=36 obj=6432 prim=134476 rooms=2 [spawn_room_00,connection_room_01]
FPS_LOG t=23.6 fps=165 ms=6.1 dc=36 obj=6432 prim=134476 rooms=2 [spawn_room_00,connection_room_01]
FPS_LOG t=23.9 fps=165 ms=6.1 dc=36 obj=6432 prim=134476 rooms=2 [spawn_room_00,connection_room_01]
